anio,trimestre,fecha,i_Gs,i_USD,i_Gs_fdt,i_USD_fdt,meses_cobertura,ultimo_mes_publicado,TC,dolariz,IPC_PY,infl_PY_yoy,IPC_US,infl_US_yoy,FEDFUNDS,i_Gs_vista,i_USD_vista,i_Gs_pond,i_USD_pond,i_Gs_fdt_pond,i_USD_fdt_pond
2004,1,2004Q1,8.91,0.7633,8.45,0.57,3,3,5974.64,60.3981,48.3318,2.9886,187.1,1.7401,1.0033,2.5067,0.1867,12.13,1.12,11.15,1.0
2004,2,2004Q2,6.0333,0.66,5.21,0.83,3,6,5922.27,60.068,48.7856,5.5324,188.9,3.1677,1.01,1.64,0.1567,10.1233,1.2967,9.62,1.3
2004,3,2004Q3,4.2533,0.8467,3.46,0.89,3,9,5919.33,58.6402,48.9368,6.6527,189.8,2.5392,1.4333,0.86,0.1433,8.28,1.1433,7.1,1.14
2004,4,2004Q4,3.9133,0.8133,4.99,1.29,3,12,6185.23,54.2468,49.2393,2.8137,191.7,3.3423,1.95,0.31,0.0933,6.9,1.3767,8.29,1.64
2005,1,2005Q1,3.5367,0.5233,4.02,0.56,3,3,6262.25,54.3351,50.4494,4.3812,193.1,3.2068,2.47,0.25,0.0833,7.4233,1.37,8.24,1.7
2005,2,2005Q2,4.45,1.0233,4.47,1.79,3,6,6129.32,54.2381,51.7556,6.0879,193.7,2.541,2.9433,0.1567,0.1033,9.03,1.6767,8.92,1.73
2005,3,2005Q3,3.79,1.515,3.37,2.04,2,9,6110.24,53.3236,52.6356,7.5583,198.8,4.7418,3.46,0.22,0.17,8.5867,2.13,7.52,2.19
2005,4,2005Q4,5.4633,2.2667,6.18,3.09,3,12,6109.52,50.5798,54.0932,9.8576,198.1,3.3385,3.98,0.17,0.1,8.93,2.8567,9.01,2.8
2006,1,2006Q1,5.42,2.43,5.61,1.85,2,2,5884.09,51.2312,56.2794,11.5563,199.7,3.4179,4.4567,0.1567,0.0933,9.3833,2.65,9.46,3.43
2006,2,2006Q2,6.39,2.36,5.84,2.69,3,6,5615.24,52.2339,56.1007,8.3953,201.8,4.1817,4.9067,0.1533,0.1033,12.25,3.47,12.21,3.02
2006,3,2006Q3,6.7467,3.2167,6.87,3.49,3,9,5398.25,50.8597,57.0219,8.3333,202.8,2.0121,5.2467,0.1967,0.11,10.1967,3.1833,8.76,3.56
2006,4,2006Q4,6.12,4.28,6.12,4.28,1,10,5313.16,47.0301,60.8445,12.4809,203.1,2.524,5.2467,0.2367,0.1367,,,,
2007,1,2007Q1,7.23,2.705,6.81,2.41,2,3,5090.95,45.2649,59.4557,5.6438,205.288,2.7982,5.2567,0.33,0.1667,10.7567,4.06,9.49,4.27
2007,2,2007Q2,5.035,2.97,4.93,3.31,2,6,5069.5,44.867,59.937,6.8382,207.234,2.6928,5.25,0.37,0.16,7.1333,3.53,6.64,3.52
