anio,trimestre,pond_Gs,pond_USD,pond_Gs_fdt,pond_USD_fdt
2004,1,12.13,1.12,11.15,1.0
2004,2,10.1233,1.2967,9.62,1.3
2004,3,8.28,1.1433,7.1,1.14
2004,4,6.9,1.3767,8.29,1.64
2005,1,7.4233,1.37,8.24,1.7
2005,2,9.03,1.6767,8.92,1.73
2005,3,8.5867,2.13,7.52,2.19
2005,4,8.93,2.8567,9.01,2.8
2006,1,9.3833,2.65,9.46,3.43
2006,2,12.25,3.47,12.21,3.02
2006,3,10.1967,3.1833,8.76,3.56
2006,4,,,,
2007,1,10.7567,4.06,9.49,4.27
2007,2,7.1333,3.53,6.64,3.52
2007,3,7.17,4.2033,7.39,4.9
2007,4,8.3733,4.32,7.93,4.32
2008,1,8.9467,4.4033,9.13,4.51
2008,2,7.7267,3.8267,7.66,3.72
2008,3,7.8267,4.5067,7.66,4.92
2008,4,10.24,5.49,11.19,5.83
2009,1,10.95,5.3433,10.57,5.36
2009,2,10.2633,4.8367,10.21,4.66
2009,3,7.59,4.7233,7.67,5.26
2009,4,8.03,4.49,7.94,4.53
2010,1,8.0267,4.94,8.77,5.14
2010,2,7.8667,4.5567,7.89,4.81
2010,3,7.6833,4.47,7.68,4.44
2010,4,8.1,4.5933,8.79,4.65
2011,1,11.0974,5.4324,11.546199632665166,5.566336593625789
2011,2,12.6987,5.5301,13.07763184854788,5.508945295174336
2011,3,12.3385,5.4945,12.10308910747907,5.652552471699954
2011,4,12.5848,5.8369,12.84484269867776,6.25070792602946
2012,1,11.9661,6.4187,11.807831288839912,6.448445830522097
2012,2,12.3971,6.2089,12.628592840574708,6.11525370967986
2012,3,12.7871,6.7102,12.64414880980524,6.463104479776916
2012,4,12.501,6.6807,12.11359416288987,6.272898178845449
2013,1,12.4107,6.0675,12.20858358787452,5.795416897680542
2013,2,11.2894,6.1299,11.200278707435524,6.520682623641008
2013,3,11.0975,6.0934,10.911271021835216,6.023584066422214
2013,4,11.2284,5.8058,11.486837290237842,5.448521801050124
2014,1,10.7722,5.8415,11.106043230611554,5.368390426369868
2014,2,10.4208,5.2909,10.104958555434749,4.640530963238413
2014,3,8.8732,4.8223,8.212642028949826,4.859631819080824
2014,4,8.8847,4.5979,8.962478049338667,4.614877409456064
2015,1,9.0331,4.8511,9.084240081637311,4.610716448814236
2015,2,8.6358,4.8252,8.696774997212046,4.882545293150212
2015,3,8.61,4.7507,8.849153882179653,4.848184356215346
2015,4,9.1935,4.9289,9.633124292016934,4.941930697638047
2016,1,10.0927,4.8733,10.094051166533474,4.469377070141155
2016,2,10.1579,4.9697,9.946781301930807,4.842913323347396
2016,3,9.4177,4.2949,9.339115126765638,4.066768101256977
2016,4,8.9999,4.1813,8.578061296569842,3.971318781271818
2017,1,8.9228,4.211,8.914432628221546,4.222587341471799
2017,2,8.4085,4.1736,8.239867771366205,4.239245759439672
2017,3,7.7719,4.3216,7.553528648590905,5.217310591712196
2017,4,7.614,4.0555,7.820917034812402,4.076627066356401
2018,1,7.8514,4.1234,7.856792529860531,4.117279155136794
2018,2,7.6589,4.2142,7.647272082668506,4.460793481507349
2018,3,7.6704,4.4221,7.673621111923949,4.623862376924779
2018,4,8.3674,4.5814,8.579486634922002,4.435711214841189
2019,1,8.6203,4.8703,9.253587727311768,4.806775660524765
2019,2,8.4341,4.8017,8.51701327477242,4.979518810423087
2019,3,8.0738,4.6033,7.978867168500136,4.343501025377131
2019,4,7.7754,4.3394,7.683802820557454,3.961594914104609
2020,1,7.176,4.3788,7.150903876437169,4.328540435416027
2020,2,7.2552,4.4558,7.384832463418802,4.42934132209414
2020,3,6.3838,4.233,6.113646727136747,4.106839632897654
2020,4,5.8214,3.5551,5.9160430530765575,3.507745980208677
2021,1,5.978,3.4374,5.907654575023772,3.607573968980178
2021,2,5.3335,3.0786,5.406198929911612,2.6753935454081126
2021,3,5.1842,2.6701,5.409350871896331,2.6412071067486904
2021,4,6.0682,2.8464,6.564544023591583,2.9224605892193445
2022,1,7.0854,2.9842,7.57625923130229,3.0496380388603663
2022,2,8.4556,3.5832,8.92760461197545,3.8558270693469088
2022,3,8.7394,4.3616,8.749165369046619,4.282868183621811
2022,4,9.5733,5.2372,10.141660650402384,5.711872708875573
2023,1,9.2219,5.5474,9.063117054280948,5.630902683036125
2023,2,9.0535,5.5739,8.891714148509356,5.387398502348518
2023,3,8.7408,5.5516,8.358564244865994,5.658742174676749
2023,4,8.0908,5.7444,8.3270262374529,5.933744703924318
2024,1,7.9752,5.8728,7.739509218203932,5.898676837744674
2024,2,7.5349,5.8601,7.453206383301125,5.839100333380423
2024,3,7.5309,5.8521,7.42,5.9
2024,4,7.99,5.6533,8.83,5.74
2025,1,8.53,5.62,8.19,5.53
2025,2,8.13,5.73,8.07,5.78
2025,3,10.1833,5.9433,10.09,5.94
2025,4,10.0167,5.72,10.52,5.6
2026,1,10.0067,5.67,9.99,5.69
