archivo_local,ventana_contenido,url_origen_bcp,fecha_descarga
IF_2005-02.pdf,FEB/04..FEB/05,https://www.bcp.gov.py/documents/20117/0/febrero.pdf/882fb224-cbf0-088f-66d8-1b043f3f08bc?t=1742301092413,2026-06-30
IF_2005-12.pdf,DIC/04..DIC/05,https://www.bcp.gov.py/documents/20117/0/dic+(5).pdf/88c57f9a-acf7-dd00-0776-edb9eefefa81?t=1742301426030,2026-06-30
IF_2006-07.pdf,JUL/05..JUL/06,https://www.bcp.gov.py/documents/20117/0/jul+(7).pdf/c3992715-1973-08dc-22bf-830998c83aa6?t=1742302361764,2026-06-30
IF_2006-10.pdf,OCT/05..OCT/06,https://www.bcp.gov.py/documents/20117/0/oct+(7).pdf/502b88a8-bc0d-267c-c043-aaca30ae927c?t=1742302724058,2026-06-30
IF_2006-11.pdf,sin-tabla-texto (imagen escaneada) - NO extraido,https://www.bcp.gov.py/documents/20117/0/nov+(2).pdf/c232bb5a-0e17-5ed3-540c-084f541cc1b1?t=1740424197758,2026-06-30
IF_2007-09.pdf,SET/05..SET/06,https://www.bcp.gov.py/documents/20117/0/set+(7).pdf/4a8a5e9c-0317-23ad-f5cc-8ca75c14e3bc?t=1742302460712,2026-06-30
IF_2007-12.pdf,DIC/06..DIC/07,https://www.bcp.gov.py/documents/20117/0/dic+(7).pdf/2a90d5b3-d42b-41eb-f5fc-6114c58b1196?t=1742390057330,2026-06-30
IF_2008-06.pdf,JUN/07..JUN/08,https://www.bcp.gov.py/documents/20117/0/jun+(8).pdf/4373b316-0266-8348-95b8-4c6585c1ff74?t=1742405930273,2026-06-30
IF_2008-07.pdf,JUL/08..JUL/09,https://www.bcp.gov.py/documents/20117/0/Jul.pdf/80edff23-297d-d7eb-2699-79ef9bf1f72e?t=1742407222082,2026-06-30
IF_2010-09.pdf,sep-09..sep-10,https://www.bcp.gov.py/documents/20117/0/IF_Setiembre_2010.pdf/1164c82b-e5d7-02af-3177-87a7b994d2ad?t=1742411212172,2026-06-30
IF_2012-01.pdf,ene-11..ene-12,https://www.bcp.gov.py/documents/20117/0/Ind_Finan_Enero_2012.pdf/d593197d-9fcc-2ddc-3d01-2fa77b9144c7?t=1742413381543,2026-06-30
IF_junio_x.pdf,MAY/03..JUN/05,https://www.bcp.gov.py/documents/20117/0/junio.pdf/071e6226-828d-0a02-a048-a6041638819a?t=1742301219988,2026-06-30
misc_Ago.pdf,AGO/08..AGO/09,https://www.bcp.gov.py/documents/20117/0/Ago.pdf/a247ce7e-ef90-6707-9401-7c7ce98fff45?t=1742407256138,2026-06-30
misc_enero1.pdf,ENE/04..ENE/05,https://www.bcp.gov.py/documents/20117/0/enero+(1).pdf/2640e6d1-117a-6f20-7cbb-48a80f9741e9?t=1742301056011,2026-06-30
misc_jun5.pdf,JUN/03..JUN/04,https://www.bcp.gov.py/documents/20117/0/jun+(5).pdf/b4744036-2cd6-e2cc-5f73-88718c4662ca?t=1742299765792,2026-06-30
misc_mayo.pdf,MAY/04..MAY/05,https://www.bcp.gov.py/documents/20117/0/mayo.pdf/b67810b0-479c-7e65-04a3-7ca79b02c56f?t=1742301185317,2026-06-30
hunt/if_octubre_2010.pdf,oct-2010 (formato nuevo; tabla pasiva MN/ME pag 4-5),https://www.bcp.gov.py/documents/d/institucional/if_octubre_2010-pdf,2026-07-13
hunt/if_noviembre_2010.pdf,nov-2010,https://www.bcp.gov.py/documents/d/institucional/if_noviembre_2010-pdf,2026-07-13
hunt/if_diciembre_2010.pdf,dic-2010,https://www.bcp.gov.py/documents/d/institucional/if_diciembre_2010-pdf,2026-07-13
